Designator,Mid X,Mid Y,Rotation,Layer
BTNR1,81.205,-125.84,180.0,top
C1,87.56,-93.76,180.0,top
C10,186.95,-109.475,180.0,top
C100,145.6,-93.14,270.0,bottom
C101,148.1,-91.895,270.0,bottom
C102,143.725,-95.8,180.0,bottom
C103,146.68,-92.75,90.0,bottom
C104,148.12,-99.54,180.0,bottom
C105,146.5,-98.6,270.0,bottom
C106,146.85,-94.95,180.0,bottom
C107,144.1,-100.61,0.0,bottom
C108,151.89,-92.51,180.0,bottom
C109,148.69,-93.4,0.0,bottom
C11,196.35,-126.09,0.0,bottom
C110,148.29,-94.65,270.0,bottom
C111,154.46,-99.325,90.0,bottom
C112,149.64,-95.07,180.0,bottom
C113,127.51,-123.63,90.0,top
C114,149.03,-100.81,180.0,bottom
C115,155.39,-103.82,180.0,bottom
C116,149.76,-104.77,180.0,bottom
C117,152.86,-93.32,0.0,bottom
C118,151.9,-94.82,0.0,bottom
C119,151.1,-89.675,270.0,bottom
C12,151.69,-96.48,0.0,bottom
C120,146.66,-89.18,180.0,bottom
C121,143.16,-89.96,270.0,bottom
C122,143.15,-98.7,270.0,bottom
C123,145.03,-102.01,180.0,bottom
C124,150.56,-92.75,90.0,bottom
C125,130.78,-109.11,0.0,bottom
C126,147.425,-97.125,0.0,bottom
C127,148.92,-98.12,0.0,bottom
C128,150.4,-108.125,270.0,bottom
C129,179.79,-110.6,180.0,top
C13,152.35,-98.81,0.0,bottom
C130,135.14,-102.37,90.0,top
C131,150.1,-112.725,180.0,bottom
C132,142.475,-109.325,270.0,top
C133,133.075,-94.475,180.0,top
C134,150.95,-87.0,180.0,bottom
C135,144.81,-87.06,180.0,bottom
C136,153.11,-112.91,270.0,top
C137,128.9,-124.15,90.0,top
C138,158.35,-87.125,180.0,bottom
C139,137.0,-137.55,270.0,top
C14,177.95,-120.6,270.0,bottom
C140,137.0,-133.6,90.0,top
C141,119.4,-137.6,270.0,top
C142,119.4,-133.95,90.0,top
C143,122.2,-136.3,180.0,bottom
C144,125.03,-137.41,90.0,bottom
C145,122.6,-136.98,180.0,top
C146,122.85,-135.83,180.0,top
C147,133.7,-134.55,0.0,top
C148,132.55,-134.9,0.0,bottom
C149,132.25,-134.1,90.0,top
C15,176.35,-113.05,0.0,bottom
C150,121.9,-134.6,180.0,top
C151,123.45,-134.205,90.0,top
C152,135.135,-140.35,0.0,top
C153,133.83,-140.0,90.0,top
C154,132.49,-138.88,0.0,bottom
C155,129.19,-140.34,180.0,top
C156,135.0,-144.8,270.0,top
C157,123.205,-134.9,180.0,bottom
C158,121.855,-140.6,180.0,top
C159,123.15,-140.17,90.0,top
C16,150.8,-97.6,0.0,bottom
C160,123.95,-139.25,90.0,top
C161,136.1,-141.95,90.0,top
C162,126.74,-140.36,0.0,top
C163,119.85,-142.2,90.0,top
C164,121.0,-144.9,270.0,top
C165,125.56,-131.98,0.0,top
C166,116.9,-127.65,90.0,top
C167,118.35,-130.5,270.0,top
C168,130.29,-132.14,180.0,top
C169,136.45,-127.5,90.0,top
C17,119.5834,-66.3,90.0,bottom
C170,135.4,-130.0,270.0,top
C171,127.17,-121.48,90.0,bottom
C172,131.24,-117.49,270.0,top
C173,129.87,-121.12,90.0,top
C174,126.22,-116.32,270.0,top
C175,98.51,-89.71,0.0,top
C176,104.0676,-127.764411,180.0,top
C177,91.27,-87.55,0.0,top
C178,88.96,-86.59,180.0,top
C179,86.81,-88.75,90.0,top
C18,128.75,-102.93,270.0,top
C180,83.530278,-54.5,0.0,bottom
C181,84.76,-64.64,0.0,bottom
C182,96.4475,-51.1525,90.0,bottom
C183,92.2825,-51.6225,90.0,bottom
C184,103.99,-54.435,90.0,bottom
C185,87.715,-54.65,0.0,bottom
C186,99.5,-51.25,90.0,bottom
C187,90.645,-58.65,180.0,bottom
C188,94.87,-62.5,90.0,bottom
C189,96.43,-54.51,270.0,bottom
C19,86.81,-95.38,180.0,top
C190,94.365,-54.345,270.0,bottom
C191,95.415,-54.375,270.0,bottom
C192,91.66,-132.55,90.0,top
C193,97.08,-144.19,270.0,top
C194,94.65,-144.18,270.0,top
C195,94.2,-132.51,90.0,top
C196,94.69,-136.29,270.0,top
C197,94.76,-140.43,90.0,top
C198,91.47,-143.33,180.0,top
C199,89.11,-97.74,0.0,top
C2,87.355,-90.91,180.0,top
C20,90.32,-96.72,270.0,top
C200,116.3,-130.55,270.0,top
C201,95.62,-72.98,90.0,bottom
C202,81.7,-77.09,0.0,top
C203,124.8,-121.16,90.0,top
C204,95.685,-75.86,0.0,bottom
C205,81.74,-75.75,0.0,top
C206,101.12,-75.79,180.0,bottom
C207,85.32,-69.97,0.0,bottom
C208,126.81,-88.68,270.0,bottom
C209,124.35,-85.44,270.0,bottom
C21,134.385,-106.7,90.0,top
C210,95.59,-78.57,0.0,bottom
C211,90.46,-82.43,90.0,bottom
C212,95.96,-82.42,90.0,bottom
C213,93.06,-76.38,270.0,bottom
C214,89.3,-75.81,180.0,bottom
C215,89.825,-81.08,180.0,bottom
C216,95.505,-81.08,0.0,bottom
C217,86.38,-81.21,180.0,top
C218,89.28,-79.89,270.0,bottom
C219,86.52,-77.23,180.0,top
C22,115.39,-66.2,90.0,bottom
C220,89.18,-77.37,270.0,bottom
C221,97.05,-73.77,0.0,top
C23,138.98,-66.32,90.0,bottom
C234,89.08,-95.38,0.0,top
C24,142.905,-65.25,180.0,top
C25,127.49,-67.33,90.0,top
C26,133.625,-104.7,90.0,top
C27,109.32,-138.46,0.0,top
C28,97.995,-138.725,180.0,top
C29,96.3,-134.94,90.0,top
C3,95.01,-88.44,90.0,top
C30,96.275,-137.725,270.0,top
C31,103.96,-141.63,0.0,top
C32,130.025,-106.475,180.0,top
C33,96.32,-95.69,180.0,bottom
C34,178.81,-94.13,0.0,bottom
C35,184.455,-97.77,180.0,bottom
C36,183.89,-103.31,90.0,bottom
C37,175.94,-101.99,270.0,bottom
C38,177.925,-99.325,180.0,bottom
C39,178.66,-97.79,0.0,bottom
C4,155.7,-94.09,180.0,bottom
C40,183.24,-96.78,90.0,bottom
C41,184.04,-98.95,90.0,bottom
C42,175.71,-98.49,270.0,bottom
C43,175.94,-92.85,90.0,bottom
C44,183.17,-101.11,90.0,bottom
C45,176.45,-100.22,180.0,bottom
C46,184.05,-93.31,90.0,bottom
C47,176.03,-91.2,90.0,bottom
C48,184.1,-91.74,90.0,bottom
C49,184.0,-101.32,90.0,bottom
C5,169.14,-94.045,270.0,top
C50,183.43,-95.28,90.0,bottom
C51,177.14,-104.35,0.0,bottom
C52,129.4,-56.225,90.0,top
C53,99.665,-109.0,180.0,top
C54,99.72,-106.92,180.0,top
C55,102.44,-104.08,90.0,top
C56,105.76,-106.62,0.0,bottom
C57,105.86,-110.75,270.0,bottom
C58,105.87,-107.37,0.0,bottom
C59,114.1358,-109.0558,0.0,top
C6,148.36,-134.43,90.0,top
C60,102.89,-101.08,90.0,top
C61,100.05,-98.57,90.0,top
C62,141.625,-105.005,270.0,top
C63,108.48,-118.09,180.0,bottom
C64,112.6,-102.86,270.0,top
C65,112.5,-100.22,90.0,top
C66,78.84,-100.7,90.0,bottom
C67,96.86,-111.65,270.0,top
C68,98.06,-112.6,270.0,top
C69,99.59,-112.83,270.0,top
C7,86.21,-96.73,270.0,top
C70,101.34,-104.19,90.0,top
C71,100.71,-111.51,270.0,top
C72,111.935,-106.97,0.0,top
C73,110.905,-105.8,0.0,top
C74,109.485,-105.04,0.0,top
C75,109.23,-105.81,0.0,top
C76,130.98,-120.08,90.0,top
C77,122.89,-120.41,270.0,top
C78,133.475,-117.62,270.0,bottom
C79,106.55,-124.555,270.0,bottom
C8,150.81,-101.36,180.0,bottom
C80,103.875,-121.385526,0.0,bottom
C81,99.58,-95.98,0.0,top
C82,176.69,-95.3,0.0,bottom
C83,181.32,-103.18,0.0,bottom
C84,184.69,-100.14,0.0,bottom
