Designator,Footprint,Quantity,Value,LCSC Part #
"BTNR1, S1",SW_PTS645SK50SMTR92LFS,2,PTS645SK50SMTR92LFS,C221872
"C1, C12, C13, C14, C15, C155, C162, C165, C168, C17, C171, C174, C176, C18, C187, C189, C19, C190, C191, C199, C2, C201, C204, C206, C207, C208, C210, C211, C212, C213, C214, C215, C216, C218, C22, C220, C23, C234, C24, C25, C28, C32, C33, C4, C53, C54, C55, C56, C57, C63, C65, C68, C70, C71, C73, C75, C76, C78, C79, C80, C9",0201,61,100nF,c307380
"C10, C11, C183, C186, C30",C_0402,5,100nF 10V,C77020
"C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C26, C82, C83, C87, C88, C89, C90, C91, C92, C93, C94, C95, C96, C97, C98, C99",0201,30,470nF,C5383023
"C114, C115, C117, C118, C119, C120, C121, C122, C123, C124, C126, C127, C146, C172, C185, C20, C202, C205, C217, C219, C221, C27, C58, C64, C67, C69, C7, C72, C74, C77, C81, C84, C86",C_0402,33,4.7uF,C2858031
C116,C_0402,1,4.7nF,c84705
"C125, C138",C_0805,2,47uF,C124129
"C128, C129, C130, C131, C132, C133, C134, C135, C136, C179, C85",C_0805,11,100uF,c141660
"C137, C143, C192, C193, C194, C195, C196, C197, C198, C31",C_0805,10,10uF 10V,C15850
"C139, C140, C141, C142, C156, C164, C167, C170, C200, C209",C_0805,10,22uF/10V,C602037
"C144, C173, C182, C203, C21, C6",C_0402,6,1uF 10V,C52923
C145,C_0603,1,3.3uF/10V,C528975
C147,0201,1,1.5nF,C2184288
"C148, C154, C157, C160",0201,4,33nF,C161475
"C149, C151, C153, C159, C161, C163, C166, C169",0201,8,10pF,C76921
C150,0201,1,150pF,C3843470
C152,0201,1,1.2nF,C913747
C158,0201,1,330pF,C2184280
"C16, C181, C66",C_0402,3,1nF,C77018
"C175, C178",C_0402,2,1nF 5%,c76947
C177,C_0402,1,150pF 5%,c76951
C180,CAPMP3.7X2.8_2.1N_KEM,1,T491B157M006AT,
"C184, C34, C35, C5, C8",0201,5,10nF,c85930
C188,C_0402,1,2.2uF,c170151
C29,C_0402,1,22nF,c337699
C3,C_0402,1,820pF 5%,c307452
"C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51",0201,16,47nF,C88917
C52,1808,1,1nF 250V,c237595
"C59, C60, C61, C62",0201,4,27pF,C161381
"CR1, CR2",USC_TOS,2,1SS352,C15885
"CR3, CR7",SOD123_DIO,2,BZT52C12-7-F,C19077410
CR6,SOD323F_NXP,1,PMEG1030EJ,C133633
"D1, D28, D32, D33, D4, D5, D6",0402,7,LED,C434449
D2,DIOM7959X261N,1,MBRS340T3G,C40326
D25,0402,1,LED,c71911
"D26, D27",SODFL1608X70N,2,BAS16XV2T1G,C152479
D37,DIOM5436X244N,1,SMBJ15CA-E3_52,C435933
"D7, D8",LED_SMLV56_ROM,2,SMLVN6RGB,C20110230
"DONE1, LED_RX1, LED_TX1",0402,3,Green,C434449
F1,PTS120630V012,1,PTS120630V012,C2442491
F2,FUSE_PRG-18_MUR,1,PRG18BB330MB1RB,C133974
"FL1, FL2, FL3, FL4, FL5, FL6, FL8, FL9",BEADC1608X95N,8,600Ohm/100Mhz,C19330
IC1,BGA96C80P9X16_900X1300X120,1,IS43TR16256B-125KBLI,C1349408
J1,CUI_PJ-102AH,1,PJ-102AH,
"J10, J11",AMPHENOL_10029449-001RLF,2,10029449-001RLF,
J12,HALO_FASTJACK,1,HFJ11-1G01ERL,
J13,MOLEX_503398-1892,1,503398-1892,C428492
