Designator,Mid X,Mid Y,Rotation,Layer
C1,96.25,-87.0,180.0,bottom
C10,185.75,-115.5,0.0,top
C100,148.2,-89.5,90.0,bottom
C101,141.6,-89.8,270.0,bottom
C102,146.1,-93.25,0.0,bottom
C103,142.65,-89.75,270.0,bottom
C104,142.15,-97.4,0.0,bottom
C105,143.6,-100.4,0.0,bottom
C106,146.5,-97.65,90.0,bottom
C107,145.7,-99.35,270.0,bottom
C108,143.75,-107.05,90.0,bottom
C109,162.2,-85.1,180.0,bottom
C11,185.75,-126.75,180.0,top
C110,160.3,-85.85,0.0,bottom
C111,155.95,-86.85,0.0,bottom
C112,160.3,-86.7,0.0,bottom
C113,142.25,-109.75,0.0,bottom
C114,153.7,-98.45,90.0,bottom
C115,156.15,-104.05,90.0,bottom
C116,146.25,-109.75,0.0,bottom
C117,162.2,-86.8,180.0,bottom
C118,142.2,-107.2,180.0,bottom
C119,150.05,-92.5,0.0,bottom
C12,134.6,-112.75,270.0,top
C120,143.6,-92.5,0.0,bottom
C121,147.95,-87.5,0.0,bottom
C122,146.9,-94.1,0.0,bottom
C123,142.85,-102.85,0.0,bottom
C124,140.15,-107.15,0.0,bottom
C125,142.2,-108.1,180.0,bottom
C126,153.05,-85.5,90.0,bottom
C127,162.2,-85.95,180.0,bottom
C128,158.8,-90.45,270.0,bottom
C129,149.35,-103.75,180.0,bottom
C13,134.625,-114.84,90.0,top
C130,148.25,-110.25,270.0,bottom
C131,158.7,-84.05,180.0,bottom
C132,140.15,-108.1,0.0,bottom
C133,150.8,-88.55,0.0,bottom
C134,146.2,-89.2,180.0,bottom
C135,143.0,-105.0,180.0,bottom
C136,153.05,-87.3,270.0,bottom
C137,142.25,-110.7,0.0,bottom
C138,154.5,-95.25,270.0,bottom
C139,124.55,-141.8,0.0,top
C14,156.65,-114.25,180.0,top
C140,133.25,-134.0,180.0,top
C141,122.75,-131.5,90.0,top
C142,122.65,-142.45,270.0,top
C143,113.2,-136.35,90.0,top
C144,121.7,-142.45,270.0,top
C145,120.75,-129.25,0.0,top
C146,114.15,-138.9,270.0,top
C147,112.95,-138.8,90.0,top
C148,127.05,-135.95,90.0,top
C149,133.5,-135.15,180.0,top
C15,174.9,-113.85,270.0,top
C150,131.25,-136.5,0.0,top
C151,128.75,-133.75,0.0,top
C152,133.75,-136.25,180.0,top
C153,131.25,-141.75,180.0,top
C154,128.1,-141.55,180.0,top
C155,121.95,-145.3,0.0,top
C156,134.05,-145.6,270.0,top
C157,116.95,-135.5,0.0,top
C158,119.25,-146.75,180.0,top
C159,117.2,-141.3,0.0,top
C16,135.9,-118.8,90.0,bottom
C160,119.6,-143.5,90.0,top
C161,133.1,-145.6,270.0,top
C162,120.05,-141.85,0.0,top
C163,113.25,-141.25,90.0,top
C164,114.3,-141.3,90.0,top
C165,120.25,-132.25,0.0,top
C166,114.8,-135.65,0.0,top
C167,115.9,-136.85,0.0,top
C168,125.75,-132.25,180.0,top
C169,125.55,-130.25,180.0,top
C17,117.945,-71.95,180.0,top
C170,125.6,-128.9,180.0,top
C171,88.9,-141.65,90.0,bottom
C172,94.1,-142.65,270.0,bottom
C173,95.4,-142.6,270.0,bottom
C174,90.5,-144.8,270.0,bottom
C175,96.0,-97.5,180.0,bottom
C176,141.6,-73.3,180.0,top
C177,96.25,-92.75,90.0,top
C178,98.5,-94.25,0.0,bottom
C179,98.5,-92.7,180.0,bottom
C18,105.25,-119.55,270.0,bottom
C180,95.950278,-67.25,0.0,bottom
C181,91.75,-72.25,180.0,bottom
C182,105.15,-59.5,90.0,top
C183,100.9,-63.0,270.0,bottom
C184,123.1,-75.65,270.0,bottom
C185,102.2,-56.1063,180.0,bottom
C186,104.65,-56.1563,270.0,bottom
C187,93.8,-54.75,270.0,bottom
C188,91.2,-59.15,270.0,bottom
C189,93.7,-63.05,180.0,bottom
C19,101.75,-123.75,90.0,bottom
C190,98.75,-63.4,180.0,top
C191,98.75,-64.3563,0.0,bottom
C192,100.25,-129.5,180.0,top
C193,100.25,-128.5,180.0,top
C194,100.25,-133.75,270.0,top
C195,99.25,-133.75,270.0,top
C196,100.25,-132.0,180.0,top
C197,100.25,-130.75,180.0,top
C198,97.0,-133.75,270.0,top
C199,98.0,-133.75,270.0,top
C2,96.25,-88.5,180.0,bottom
C20,95.5,-123.25,270.0,bottom
C200,115.85,-137.8,0.0,top
C201,84.75,-73.75,0.0,bottom
C202,84.75,-72.75,0.0,bottom
C203,79.75,-72.75,180.0,bottom
C204,98.75,-71.25,270.0,bottom
C205,88.75,-75.25,0.0,bottom
C206,96.75,-70.75,0.0,bottom
C207,88.75,-73.75,0.0,bottom
C208,82.25,-71.75,0.0,bottom
C209,116.25,-75.75,180.0,bottom
C21,110.5,-119.75,0.0,bottom
C210,116.25,-76.75,180.0,bottom
C211,84.75,-75.75,0.0,bottom
C212,112.95,-84.75,0.0,top
C213,118.9,-85.25,180.0,bottom
C214,84.75,-74.75,0.0,bottom
C215,111.25,-92.25,0.0,bottom
C216,85.25,-78.75,270.0,bottom
C217,84.25,-78.75,270.0,bottom
C218,86.25,-78.75,270.0,bottom
C219,82.25,-73.25,0.0,bottom
C22,114.245,-68.4,180.0,top
C220,82.25,-74.25,0.0,bottom
C221,96.75,-71.75,0.0,bottom
